Depth,2022,2023,2024
260.491447,-71.65206536,-73.6666841,-74.43055628
261.495584,-71.57270578,-73.60952672,-74.39779387
262.499722,-71.49598004,-73.52346878,-74.35348864
263.503859,-71.40622192,-73.45309177,-74.31970754
264.507996,-71.31958663,-73.39755188,-74.29590885
265.493876,-71.26818546,-73.32094091,-74.2703227
266.498013,-71.23633501,-73.24792804,-74.22070577
267.502151,-71.01614441,-73.17689049,-74.1794413
268.506288,-70.85406975,-73.12852821,-74.15056126
269.510425,-70.58030682,-73.06206751,-74.10232365
270.496305,-70.53260925,-72.99741225,-74.04627105
271.500442,-70.64368115,-72.92380365,-74.02877759
272.504579,-70.59183416,-72.87129811,-74.02368919
273.49046,-70.55246442,-72.8230871,-73.98748579
274.494597,-70.56800499,-72.75979547,-73.96273809
275.498734,-70.6227311,-72.7074336,-73.91911587
276.502871,-70.50133184,-72.63478235,-73.87100018
277.507008,-70.60981965,-72.57963278,-73.81303225
278.492889,-70.64618275,-72.51639266,-73.76604211
279.497026,-70.73734115,-72.47466306,-73.68468126
280.501163,-70.72057587,-72.41853333,-73.64415936
281.5053,-70.67711563,-72.38647233,-73.59122138
282.509437,-70.64749813,-72.32677478,-73.56119019
283.495318,-70.5815097,-72.27536091,-73.49428073
284.499455,-70.54163388,-72.23110369,-73.41345603
285.503592,-70.49729337,-72.18476773,-73.41940385
286.489472,-70.43855134,-72.11914392,-73.34198991
287.493609,-70.39907137,-72.06030023,-73.34221424
288.497747,-70.30968586,-71.98564767,-73.27853041
289.501884,-70.25119488,-71.90486759,-73.22706438
290.506021,-70.18978017,-71.82383512,-73.16948315
291.491901,-70.14581514,-71.73800202,-73.10104394
292.496038,-70.11358052,-71.65924144,-73.01250851
293.500176,-70.06084539,-71.57539847,-72.94543638
294.504313,-69.9941889,-71.49138703,-72.86942902
295.50845,-69.94681364,-71.40687944,-72.87253504
296.49433,-69.88219638,-71.33867263,-72.85150649
297.498467,-69.79702574,-71.26073779,-72.83184796
298.502604,-69.74520224,-71.17382453,-72.74803943
299.506742,-69.67390434,-71.09918316,-72.72267147
300.510879,-69.26066888,-71.02343715,-72.64989641
301.496759,-69.39388152,-70.96058025,-72.63632409
302.500896,-69.42580675,-70.89188535,-72.60004238
303.505033,-69.38637417,-70.81317601,-72.55269772
304.490914,-69.33448405,-70.73887706,-72.47784749
305.495051,-69.28193227,-70.68115213,-72.42975732
306.499188,-69.21919118,-70.60103786,-72.38290006
307.503325,-69.18416904,-70.54320787,-72.32514968
308.507462,-69.14240273,-70.47279573,-72.34069899
309.493343,-69.08580916,-70.40963699,-72.27878268
310.49748,-69.02160692,-70.35645242,-72.25195798
311.501617,-68.95200863,-70.30126661,-72.23428045
312.505754,-68.87684914,-70.23654234,-72.16600125
313.509891,-68.81514937,-70.20160763,-72.13072044
