Lon,Lat,SST,SSS,SSH,Chl,O2,Nppv,MLD,East,North,EKE,Up
147.24,34.67,21.48812856,34.58564801,1.049320122,0.142856173,226.3306503,3.908874631,25.30794838,-0.109606394,0.360443899,0.070966683,-2.13E-08
147.24,34.92,21.48852009,34.58839883,1.026237514,0.126947269,226.2821045,3.477321863,14.38312732,-0.059952759,0.440901548,0.098994254,2.40E-08
147.49,34.67,27.62320158,34.10280016,0.849185447,0.104632065,206.1621399,4.166378975,10.46589311,0.13227165,-0.576520354,0.174935754,-1.88E-07
147.49,34.92,21.42063734,34.58806356,1.088776482,0.185061976,227.2856445,5.132903576,12.52323829,-0.147026382,0.374054723,0.080766847,2.44E-07
147.74,34.67,28.12418535,34.11491903,0.706324134,0.101983868,205.9675751,4.082161427,10.46302403,-0.049624087,-0.613820311,0.189618962,-9.16E-08
147.74,34.92,21.51059278,34.57225969,1.162686812,0.210188255,228.697937,6.650304794,11.87432851,-0.083293093,0.403330955,0.084806799,1.73E-07
147.99,34.67,28.45903439,34.04146873,0.619516412,0.100562289,205.0872192,4.233693123,10.46302414,-0.352989171,0.013857142,0.062396688,-2.30E-07
147.99,34.92,21.29877641,34.58755959,1.199492216,0.175393015,228.7589569,5.728182793,13.63874287,-0.057262101,0.033952206,0.00221585,2.28E-07
147.99,35.17,21.27195295,34.60379452,1.220110032,0.177062303,228.6920471,5.685350895,13.03296916,-0.15921985,0.143474526,0.02296795,4.23E-07
147.99,35.42,21.31517304,34.60303073,1.208759281,0.156506389,227.9679871,4.779265404,12.68780073,0.184672536,0.316072719,0.067002955,-4.98E-07
147.99,35.67,21.44349607,34.58066135,1.116141147,0.146632716,227.1482544,4.517652035,14.61846532,0.548801098,0.318119072,0.201191194,2.46E-07
147.99,35.92,21.40740119,34.57978863,0.983065241,0.15567781,227.1321106,5.398494244,13.20088927,0.537392126,0.299208936,0.189158142,1.03E-06
147.99,36.17,21.76710998,34.6158265,0.841371569,0.173665226,227.850235,7.08728838,18.59582678,0.727456358,0.381200592,0.337253322,7.86E-07
147.99,36.42,22.03681056,34.58938853,0.600371758,0.188149795,229.322998,8.190862656,17.9822286,1.23513582,0.560615712,0.919925235,-2.57E-07
147.99,36.67,22.63912593,34.43693076,0.278754353,0.186937869,231.4961929,8.772536278,18.3151785,1.584194634,0.647189925,1.464263718,1.65E-09
147.99,36.92,21.83296818,34.41582023,-0.082436374,0.186532378,234.1735382,9.396280289,10.52758302,1.305119402,0.460429334,0.957665912,-9.11E-07
147.99,37.67,18.85252592,33.94797643,-0.312652657,0.245339394,248.5166473,10.74815941,10.66611438,0.004554325,0.000597337,1.05E-05,-6.55E-08
147.99,37.92,18.91839833,33.93087048,-0.306853314,0.242174745,248.5172119,10.50260067,10.69191149,0.005702449,-0.05198812,0.001367641,-1.98E-07
147.99,38.17,18.79245228,33.93938192,-0.277954287,0.239553034,247.7248535,10.26905155,10.72209644,-0.082201731,0.052943896,0.00478009,1.96E-07
148.24,34.67,28.53944312,34.04325782,0.677532024,0.101315148,205.161499,4.330825329,10.46302403,-0.740512398,0.728889876,0.539819531,-1.38E-06
148.24,36.92,22.29324468,34.41201825,-0.007379313,0.178025261,232.2722015,8.707509995,11.07097668,1.505890833,0.449731804,1.234982948,-6.02E-07
148.24,37.17,20.78214285,34.39572991,-0.236738417,0.188343242,236.0510254,9.204306602,10.4627747,0.543147316,0.165108568,0.161134923,1.02E-06
148.24,37.42,18.86703746,34.08744982,-0.316926092,0.23134014,245.5663605,10.35104561,10.46289815,0.208669073,0.009045491,0.021812301,2.45E-07
